date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:04	1791/1791	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2015:43:26%20GMT	http://www.smarttemplates.net/lateral/Demo02/js/jquery.paroller.min.js	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/js/jquery.paroller.min.js	(from http://www.smarttemplates.net/lateral/Demo02/)
00:26:04	1430/1430	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Aug%202018%2013:56:42%20GMT	http://www.smarttemplates.net/lateral/Demo02/js/jquery.custom.js	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/js/jquery.custom.js	(from http://www.smarttemplates.net/lateral/Demo02/)
00:26:06	466/466	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2015:43:26%20GMT	http://www.smarttemplates.net/lateral/Demo02/js/swiper.custom.js	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/js/swiper.custom.js	(from http://www.smarttemplates.net/lateral/Demo02/)
00:26:07	3430/3430	---M--	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2012:45:04%20GMT	http://www.smarttemplates.net/lateral/Demo02/js/menu.js	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/js/menu.js	(from http://www.smarttemplates.net/lateral/Demo02/)
00:26:07	1225/1225	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Jun%202018%2015:43:15%20GMT	http://www.smarttemplates.net/lateral/Demo02/css/reset.css	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/css/reset.css	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:08	130/130	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:21%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/drop-down.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/drop-down.png	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:08	480/480	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:19%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/btn-play.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/btn-play.png	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:10	172/172	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:20%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/checked.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/checked.png	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:11	2234/2234	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:35%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/icons-bg.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/icons-bg.png	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:11	175/175	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:20%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/checked-pricing.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/checked-pricing.png	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:12	170/170	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:19%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/checked-pricing-white.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/checked-pricing-white.png	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:12	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:43:48%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/upload_file.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/upload_file.png	(from http://www.smarttemplates.net/lateral/Demo02/style.css)
00:26:13	86927/86927	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2015:43:25%20GMT	http://www.smarttemplates.net/lateral/Demo02/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/js/jquery-3.3.1.min.js	(from http://www.smarttemplates.net/lateral/Demo02/)
00:26:18	120407/120407	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2015:43:27%20GMT	http://www.smarttemplates.net/lateral/Demo02/js/swiper.min.js	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/js/swiper.min.js	(from http://www.smarttemplates.net/lateral/Demo02/)
00:27:57	1897796/1897796	---M--	200	added ('OK')	image/gif	date:Sun,%2010%20Jun%202018%2015:43:23%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/intro-animation.gif	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/intro-animation.gif	(from http://www.smarttemplates.net/lateral/Demo02/)
